Economy,Year,Economy Code,Gender Gap (Female - Male),"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"
Aruba,2018,ABW,,,
Afghanistan,2018,AFG,-0.305,0.055,0.36
Angola,2018,AGO,-7.950000000000001,3.1,11.05
Albania,2018,ALB,-8.950000000000001,2.68,11.63
Andorra,2018,AND,-11.98,5.19,17.17
United Arab Emirates,2018,ARE,-4.04,0.84,4.88
Argentina,2018,ARG,-10.23,4.71,14.94
Armenia,2018,ARM,-6.590000000000001,2.55,9.14
American Samoa,2018,ASM,,,
Antigua and Barbuda,2018,ATG,-7.359999999999999,2.9,10.26
Australia,2018,AUS,-10.780000000000001,5.18,15.96
Austria,2018,AUT,-12.719999999999999,5.77,18.49
Azerbaijan,2018,AZE,-6.05,1.46,7.51
Burundi,2018,BDI,-9.07,2.79,11.86
Belgium,2018,BEL,-11.879999999999999,5.27,17.15
Benin,2018,BEN,-3.3900000000000006,1.14,4.53
Burkina Faso,2018,BFA,-15.970000000000002,4.2,20.17
Bangladesh,2018,BGD,-0.028,0.005,0.033
Bulgaria,2018,BGR,-14.490000000000002,5.68,20.17
Bahrain,2018,BHR,-1.18,0.32,1.5
"Bahamas, The",2018,BHS,-5.5,2.12,7.62
Bosnia and Herzegovina,2018,BIH,-9.129999999999999,2.7,11.83
Belarus,2018,BLR,-13.330000000000002,5.38,18.71
Belize,2018,BLZ,-7.35,2.59,9.94
Bermuda,2018,BMU,,,
Bolivia,2018,BOL,-4.71,2.09,6.8
Brazil,2018,BRA,-8.56,3.26,11.82
Barbados,2018,BRB,-11.89,4.09,15.98
Brunei Darussalam,2018,BRN,-0.5,0.22,0.72
Bhutan,2018,BTN,-0.51,0.16,0.67
Botswana,2018,BWA,-8.34,2.51,10.85
Central African Republic,2018,CAF,-2.87,0.98,3.85
Canada,2018,CAN,-9.879999999999999,4.07,13.95
Switzerland,2018,CHE,-12.049999999999999,5.6,17.65
Channel Islands,2018,CHI,,,
Chile,2018,CHL,-9.49,4.4,13.89
China,2018,CHN,-7.9,3.02,10.92
Cote d'Ivoire,2018,CIV,-3.25,1.05,4.3
Cameroon,2018,CMR,-6.600000000000001,2.36,8.96
"Congo, Dem. Rep.",2018,COD,-2.37,0.83,3.2
"Congo, Rep.",2018,COG,-10.670000000000002,3.96,14.63
Colombia,2018,COL,-6.930000000000001,2.37,9.3
Comoros,2018,COM,-1.02,0.18,1.2
Cabo Verde,2018,CPV,-6.370000000000001,2.44,8.81
Costa Rica,2018,CRI,-5.77,2,7.77
Cuba,2018,CUB,-6.8100000000000005,2.44,9.25
Curacao,2018,CUW,,,
Cayman Islands,2018,CYM,,,
Cyprus,2018,CYP,-12.160000000000002,4.76,16.92
Czechia,2018,CZE,-15.290000000000001,6.99,22.28
Germany,2018,DEU,-13.689999999999998,6.21,19.9
Djibouti,2018,DJI,-0.63,0.12,0.75
Dominica,2018,DMA,-13.5,4.57,18.07
Denmark,2018,DNK,-10.919999999999998,4.86,15.78
Dominican Republic,2018,DOM,-7.85,2.81,10.66
Algeria,2018,DZA,-1.38,0.25,1.63
Ecuador,2018,ECU,-4.43,2,6.43
"Egypt, Arab Rep.",2018,EGY,-0.523,0.097,0.62
Eritrea,2018,ERI,-1.8900000000000001,0.5,2.39
Spain,2018,ESP,-14.3,5.77,20.07
Estonia,2018,EST,-10.610000000000001,4.35,14.96
Ethiopia,2018,ETH,-3.08,0.83,3.91
Finland,2018,FIN,-11.719999999999999,5.05,16.77
Fiji,2018,FJI,-4.38,1.11,5.49
France,2018,FRA,-13.35,5.83,19.18
Faroe Islands,2018,FRO,,,
"Micronesia, Fed. Sts.",2018,FSM,-3.2199999999999998,0.84,4.06
Gabon,2018,GAB,-9.2,3.97,13.17
United Kingdom,2018,GBR,-12.370000000000001,5.39,17.76
Georgia,2018,GEO,-9.99,3.59,13.58
Ghana,2018,GHA,-3.2300000000000004,1.17,4.4
Gibraltar,2018,GIB,,,
Guinea,2018,GIN,-1.5499999999999998,0.34,1.89
"Gambia, The",2018,GMB,-4.91,1.16,6.07
Guinea-Bissau,2018,GNB,-6.9399999999999995,2.01,8.95
Equatorial Guinea,2018,GNQ,-6.800000000000001,3.27,10.07
Greece,2018,GRC,-11.71,4.46,16.17
Grenada,2018,GRD,-11.15,3.92,15.07
Greenland,2018,GRL,,,
Guatemala,2018,GTM,-2.93,1.04,3.97
Guam,2018,GUM,,,
Guyana,2018,GUY,-8.29,2.73,11.02
"Hong Kong SAR, China",2018,HKG,,,
Honduras,2018,HND,-4.57,1.5,6.07
Croatia,2018,HRV,-10.510000000000002,4.22,14.73
Haiti,2018,HTI,-3.3999999999999995,1.07,4.47
Hungary,2018,HUN,-12.720000000000002,5.38,18.1
Indonesia,2018,IDN,-0.8099999999999999,0.17,0.98
Isle of Man,2018,IMN,,,
India,2018,IND,-7.11,1.88,8.99
Ireland,2018,IRL,-13.240000000000002,6.38,19.62
"Iran, Islamic Rep.",2018,IRN,-1.53,0.26,1.79
Iraq,2018,IRQ,-0.56,0.11,0.67
Iceland,2018,ISL,-9.56,4.34,13.9
Israel,2018,ISR,-4.65,1.93,6.58
Italy,2018,ITA,-8.940000000000001,3.52,12.46
Jamaica,2018,JAM,-5.09,1.7,6.79
Jordan,2018,JOR,-1,0.19,1.19
Japan,2018,JPN,-8.399999999999999,3.89,12.29
Kazakhstan,2018,KAZ,-5.99,1.93,7.92
Kenya,2018,KEN,-3.4799999999999995,1.07,4.55
Kyrgyz Republic,2018,KGZ,-8.84,1.95,10.79
Cambodia,2018,KHM,-8.18,2.72,10.9
Kiribati,2018,KIR,-0.61,0.16,0.77
St. Kitts and Nevis,2018,KNA,-10.190000000000001,3.95,14.14
"Korea, Rep.",2018,KOR,-9.850000000000001,4.8,14.65
Kuwait,2018,KWT,-0.003,0.001,0.004
Lao PDR,2018,LAO,-12.5,4.55,17.05
Lebanon,2018,LBN,-2.3099999999999996,0.55,2.86
Liberia,2018,LBR,-7.23,2.51,9.74
Libya,2018,LBY,-0.029,0.005,0.034
St. Lucia,2018,LCA,-12.77,4.39,17.16
Liechtenstein,2018,LIE,,,
Sri Lanka,2018,LKA,-5.08,1.7,6.78
Lesotho,2018,LSO,-6.3,1.59,7.89
Lithuania,2018,LTU,-14.73,6.56,21.29
Luxembourg,2018,LUX,-13.150000000000002,6.36,19.51
Latvia,2018,LVA,-14.810000000000002,6.11,20.92
"Macao SAR, China",2018,MAC,,,
St. Martin (French part),2018,MAF,,,
Morocco,2018,MAR,-1.04,0.18,1.22
Monaco,2018,MCO,,,
Moldova,2018,MDA,-13.02,5.27,18.29
Madagascar,2018,MDG,-2.4400000000000004,0.76,3.2
Maldives,2018,MDV,-2.95,0.5,3.45
Mexico,2018,MEX,-5.82,2.13,7.95
Marshall Islands,2018,MHL,,,
North Macedonia,2018,MKD,-7.49,2.44,9.93
Mali,2018,MLI,-1.8200000000000003,0.38,2.2
Malta,2018,MLT,-8.86,3.56,12.42
Myanmar,2018,MMR,-6.41,2.02,8.43
Montenegro,2018,MNE,-13.330000000000002,4.97,18.3
Mongolia,2018,MNG,-9.02,3.77,12.79
Northern Mariana Islands,2018,MNP,,,
Mozambique,2018,MOZ,-2.98,0.88,3.86
Mauritania,2018,MRT,-0.053,0.009,0.062
Mauritius,2018,MUS,-5.16,1.81,6.97
Malawi,2018,MWI,-4.62,1.38,6
Malaysia,2018,MYS,-1.03,0.32,1.35
Namibia,2018,NAM,-7.029999999999999,2.07,9.1
New Caledonia,2018,NCL,,,
Niger,2018,NER,-0.96,0.2,1.16
Nigeria,2018,NGA,-12.869999999999997,4.37,17.24
Nicaragua,2018,NIC,-6.41,2.07,8.48
Netherlands,2018,NLD,-10.32,4.51,14.83
Norway,2018,NOR,-7.619999999999999,3.58,11.2
Nepal,2018,NPL,-2.7300000000000004,0.76,3.49
Nauru,2018,NRU,-4.9,1.26,6.16
New Zealand,2018,NZL,-11.169999999999998,5.19,16.36
Oman,2018,OMN,-0.8500000000000001,0.19,1.04
Pakistan,2018,PAK,-0.45999999999999996,0.11,0.57
Panama,2018,PAN,-9.13,3.44,12.57
Peru,2018,PER,-6.709999999999999,3.06,9.77
Philippines,2018,PHL,-8.149999999999999,2.8,10.95
Palau,2018,PLW,,,
Papua New Guinea,2018,PNG,-1.8299999999999998,0.47,2.3
Poland,2018,POL,-12.83,5.58,18.41
Puerto Rico,2018,PRI,,,
"Korea, Dem. People's Rep.",2018,PRK,-4.82,1.47,6.29
Portugal,2018,PRT,-13.850000000000001,5.56,19.41
Paraguay,2018,PRY,-8.68,3.18,11.86
West Bank and Gaza,2018,PSE,,,
French Polynesia,2018,PYF,,,
Qatar,2018,QAT,-1.5099999999999998,0.4,1.91
Romania,2018,ROU,-13.120000000000001,5.45,18.57
Russian Federation,2018,RUS,-14.540000000000001,4.58,19.12
Rwanda,2018,RWA,-11.24,3.51,14.75
Saudi Arabia,2018,SAU,-0.24799999999999997,0.042,0.29
Sudan,2018,SDN,-0.74,0.14,0.88
Senegal,2018,SEN,-1.12,0.23,1.35
Singapore,2018,SGP,-2.02,1.04,3.06
Solomon Islands,2018,SLB,-2.39,0.63,3.02
Sierra Leone,2018,SLE,-8.32,1.61,9.93
El Salvador,2018,SLV,-4.9,1.67,6.57
San Marino,2018,SMR,,,
Somalia,2018,SOM,-0.014,0.002,0.016
Serbia,2018,SRB,-10.04,3.89,13.93
South Sudan,2018,SSD,,,
Sao Tome and Principe,2018,STP,-6.750000000000001,2.55,9.3
Suriname,2018,SUR,-6.26,2.23,8.49
Slovak Republic,2018,SVK,-12.020000000000001,5.35,17.37
Slovenia,2018,SVN,-12.76,5.6,18.36
Sweden,2018,SWE,-9.48,4.21,13.69
Eswatini,2018,SWZ,-13.26,3.76,17.02
Sint Maarten (Dutch part),2018,SXM,,,
Seychelles,2018,SYC,-22.450000000000003,9.51,31.96
Syrian Arab Republic,2018,SYR,-0.358,0.062,0.42
Turks and Caicos Islands,2018,TCA,,,
Chad,2018,TCD,-1.75,0.5,2.25
Togo,2018,TGO,-2.91,1.02,3.93
Thailand,2018,THA,-9.9,3.52,13.42
Tajikistan,2018,TJK,-4.609999999999999,0.99,5.6
Turkmenistan,2018,TKM,-6.75,1.65,8.4
Timor-Leste,2018,TLS,-2.54,0.89,3.43
Tonga,2018,TON,-1.05,0.28,1.33
Trinidad and Tobago,2018,TTO,-7.550000000000001,3.03,10.58
Tunisia,2018,TUN,-3.19,0.56,3.75
Turkiye,2018,TUR,-3.06,0.56,3.62
Tuvalu,2018,TUV,-2.01,0.5,2.51
Tanzania,2018,TZA,-14.669999999999998,4.12,18.79
Uganda,2018,UGA,-18.740000000000002,5.88,24.62
Ukraine,2018,UKR,-10.31,3.65,13.96
Uruguay,2018,URY,-7.46,3.37,10.83
United States,2018,USA,-10.649999999999999,4.64,15.29
Uzbekistan,2018,UZB,-3.67,0.79,4.46
St. Vincent and the Grenadines,2018,VCT,-10.73,3.65,14.38
"Venezuela, RB",2018,VEN,-4.85,1.75,6.6
British Virgin Islands,2018,VGB,,,
Virgin Islands (U.S.),2018,VIR,,,
Vietnam,2018,VNM,-10.61,3.49,14.1
Vanuatu,2018,VUT,-2.96,0.77,3.73
Samoa,2018,WSM,-3.45,0.88,4.33
Kosovo,2018,XKX,,,
"Yemen, Rep.",2018,YEM,-0.075,0.013,0.088
South Africa,2018,ZAF,-12.42,3.49,15.91
Zambia,2018,ZMB,-7.999999999999999,2.62,10.62
Zimbabwe,2018,ZWE,-6.37,1.63,8