Economy,Year,Economy Code,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)"
Aruba,2018,ABW,
Afghanistan,2018,AFG,0.21
Angola,2018,AGO,6.94
Albania,2018,ALB,7.17
Andorra,2018,AND,11.02
United Arab Emirates,2018,ARE,3.9
Argentina,2018,ARG,9.65
Armenia,2018,ARM,5.55
American Samoa,2018,ASM,
Antigua and Barbuda,2018,ATG,6.38
Australia,2018,AUS,10.51
Austria,2018,AUT,11.96
Azerbaijan,2018,AZE,4.41
Burundi,2018,BDI,7.19
Belgium,2018,BEL,11.08
Benin,2018,BEN,2.81
Burkina Faso,2018,BFA,12.03
Bangladesh,2018,BGD,0.019
Bulgaria,2018,BGR,12.65
Bahrain,2018,BHR,1.09
"Bahamas, The",2018,BHS,4.78
Bosnia and Herzegovina,2018,BIH,7.15
Belarus,2018,BLR,11.45
Belize,2018,BLZ,6.22
Bermuda,2018,BMU,
Bolivia,2018,BOL,4.43
Brazil,2018,BRA,7.42
Barbados,2018,BRB,9.69
Brunei Darussalam,2018,BRN,0.48
Bhutan,2018,BTN,0.43
Botswana,2018,BWA,6.59
Central African Republic,2018,CAF,2.38
Canada,2018,CAN,8.94
Switzerland,2018,CHE,11.53
Channel Islands,2018,CHI,
Chile,2018,CHL,9.07
China,2018,CHN,7.05
Cote d'Ivoire,2018,CIV,2.71
Cameroon,2018,CMR,5.65
"Congo, Dem. Rep.",2018,COD,2
"Congo, Rep.",2018,COG,9.27
Colombia,2018,COL,5.74
Comoros,2018,COM,0.69
Cabo Verde,2018,CPV,5.6
Costa Rica,2018,CRI,4.87
Cuba,2018,CUB,5.83
Curacao,2018,CUW,
Cayman Islands,2018,CYM,
Cyprus,2018,CYP,10.81
Czechia,2018,CZE,14.45
Germany,2018,DEU,12.91
Djibouti,2018,DJI,0.43
Dominica,2018,DMA,11.18
Denmark,2018,DNK,10.26
Dominican Republic,2018,DOM,6.68
Algeria,2018,DZA,0.95
Ecuador,2018,ECU,4.2
"Egypt, Arab Rep.",2018,EGY,0.36
Eritrea,2018,ERI,1.44
Spain,2018,ESP,12.72
Estonia,2018,EST,9.23
Ethiopia,2018,ETH,2.36
Finland,2018,FIN,10.78
Fiji,2018,FJI,3.32
France,2018,FRA,12.33
Faroe Islands,2018,FRO,
"Micronesia, Fed. Sts.",2018,FSM,2.48
Gabon,2018,GAB,8.74
United Kingdom,2018,GBR,11.45
Georgia,2018,GEO,8.25
Ghana,2018,GHA,2.75
Gibraltar,2018,GIB,
Guinea,2018,GIN,1.11
"Gambia, The",2018,GMB,3.55
Guinea-Bissau,2018,GNB,5.38
Equatorial Guinea,2018,GNQ,7.23
Greece,2018,GRC,10.18
Grenada,2018,GRD,9.48
Greenland,2018,GRL,
Guatemala,2018,GTM,2.45
Guam,2018,GUM,
Guyana,2018,GUY,6.89
"Hong Kong SAR, China",2018,HKG,
Honduras,2018,HND,3.76
Croatia,2018,HRV,9.23
Haiti,2018,HTI,2.73
Hungary,2018,HUN,11.35
Indonesia,2018,IDN,0.57
Isle of Man,2018,IMN,
India,2018,IND,5.54
Ireland,2018,IRL,12.88
"Iran, Islamic Rep.",2018,IRN,1.03
Iraq,2018,IRQ,0.39
Iceland,2018,ISL,9.12
Israel,2018,ISR,4.21
Italy,2018,ITA,7.84
Jamaica,2018,JAM,4.22
Jordan,2018,JOR,0.69
Japan,2018,JPN,7.96
Kazakhstan,2018,KAZ,4.76
Kenya,2018,KEN,2.78
Kyrgyz Republic,2018,KGZ,6.26
Cambodia,2018,KHM,6.64
Kiribati,2018,KIR,0.46
St. Kitts and Nevis,2018,KNA,8.94
"Korea, Rep.",2018,KOR,9.7
Kuwait,2018,KWT,0.003
Lao PDR,2018,LAO,10.72
Lebanon,2018,LBN,1.71
Liberia,2018,LBR,6.12
Libya,2018,LBY,0.019
St. Lucia,2018,LCA,10.6
Liechtenstein,2018,LIE,
Sri Lanka,2018,LKA,4.1
Lesotho,2018,LSO,4.59
Lithuania,2018,LTU,13.22
Luxembourg,2018,LUX,12.94
Latvia,2018,LVA,12.77
"Macao SAR, China",2018,MAC,
St. Martin (French part),2018,MAF,
Morocco,2018,MAR,0.69
Monaco,2018,MCO,
Moldova,2018,MDA,11.43
Madagascar,2018,MDG,1.97
Maldives,2018,MDV,2.22
Mexico,2018,MEX,5
Marshall Islands,2018,MHL,
North Macedonia,2018,MKD,6.16
Mali,2018,MLI,1.28
Malta,2018,MLT,7.99
Myanmar,2018,MMR,5.12
Montenegro,2018,MNE,11.47
Mongolia,2018,MNG,8.19
Northern Mariana Islands,2018,MNP,
Mozambique,2018,MOZ,2.3
Mauritania,2018,MRT,0.036
Mauritius,2018,MUS,4.35
Malawi,2018,MWI,3.63
Malaysia,2018,MYS,0.85
Namibia,2018,NAM,5.43
New Caledonia,2018,NCL,
Niger,2018,NER,0.67
Nigeria,2018,NGA,10.84
Nicaragua,2018,NIC,5.18
Netherlands,2018,NLD,9.61
Norway,2018,NOR,7.41
Nepal,2018,NPL,2.05
Nauru,2018,NRU,3.71
New Zealand,2018,NZL,10.63
Oman,2018,OMN,0.78
Pakistan,2018,PAK,0.34
Panama,2018,PAN,7.98
Peru,2018,PER,6.38
Philippines,2018,PHL,6.86
Palau,2018,PLW,
Papua New Guinea,2018,PNG,1.39
Poland,2018,POL,11.71
Puerto Rico,2018,PRI,
"Korea, Dem. People's Rep.",2018,PRK,3.8
Portugal,2018,PRT,12.03
Paraguay,2018,PRY,7.58
West Bank and Gaza,2018,PSE,
French Polynesia,2018,PYF,
Qatar,2018,QAT,1.59
Romania,2018,ROU,11.74
Russian Federation,2018,RUS,11.19
Rwanda,2018,RWA,8.95
Saudi Arabia,2018,SAU,0.19
Sudan,2018,SDN,0.51
Senegal,2018,SEN,0.76
Singapore,2018,SGP,2.03
Solomon Islands,2018,SLB,1.83
Sierra Leone,2018,SLE,5.7
El Salvador,2018,SLV,3.89
San Marino,2018,SMR,
Somalia,2018,SOM,0.009
Serbia,2018,SRB,8.75
South Sudan,2018,SSD,
Sao Tome and Principe,2018,STP,5.88
Suriname,2018,SUR,5.33
Slovak Republic,2018,SVK,11.14
Slovenia,2018,SVN,11.9
Sweden,2018,SWE,8.93
Eswatini,2018,SWZ,10.04
Sint Maarten (Dutch part),2018,SXM,
Seychelles,2018,SYC,20.5
Syrian Arab Republic,2018,SYR,0.24
Turks and Caicos Islands,2018,TCA,
Chad,2018,TCD,1.37
Togo,2018,TGO,2.46
Thailand,2018,THA,8.3
Tajikistan,2018,TJK,3.28
Turkmenistan,2018,TKM,4.93
Timor-Leste,2018,TLS,2.17
Tonga,2018,TON,0.8
Trinidad and Tobago,2018,TTO,6.72
Tunisia,2018,TUN,2.12
Turkiye,2018,TUR,2.05
Tuvalu,2018,TUV,1.52
Tanzania,2018,TZA,11.27
Uganda,2018,UGA,15.09
Ukraine,2018,UKR,8.32
Uruguay,2018,URY,6.92
United States,2018,USA,9.87
Uzbekistan,2018,UZB,2.59
St. Vincent and the Grenadines,2018,VCT,9.06
"Venezuela, RB",2018,VEN,4.14
British Virgin Islands,2018,VGB,
Virgin Islands (U.S.),2018,VIR,
Vietnam,2018,VNM,8.66
Vanuatu,2018,VUT,2.25
Samoa,2018,WSM,2.66
Kosovo,2018,XKX,
"Yemen, Rep.",2018,YEM,0.051
South Africa,2018,ZAF,9.52
Zambia,2018,ZMB,6.54
Zimbabwe,2018,ZWE,4.67